cksum kappa rho numDaysToRecover beta deathRate pir AFP_Detection reintroRate minBurnIn obsPeriod seasonalAmp numSims movModel moveRate ES_Detection vacRate vilPop
2a093529 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
50b9d852 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0 {32000,8000,8000,8000,8000}
ecea0d8 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
b41b7019 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.05 {64000}
a08f739b 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.05 {32000,32000}
c9e1cded 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.05 {16000,16000,16000,16000}
71710a01 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.05 {8000,8000,8000,8000,8000,8000,8000,8000}
1dbcb617 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.05 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
2cd574a0 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.05 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
e9db18e9 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.05 {32000,8000,8000,8000,8000}
7ab9f3bb 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.05 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
6ad2148b 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.2 {64000}
10c1ace8 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.2 {32000,32000}
ce85751a 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.2 {16000,16000,16000,16000}
aab8371e 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.2 {8000,8000,8000,8000,8000,8000,8000,8000}
b7c3596c 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.2 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
f7e3cd8a 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.2 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
779c5349 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.2 {32000,8000,8000,8000,8000}
5b11449f 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.2 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
eb37942 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.5 {64000}
8bc0a3f2 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.5 {32000,32000}
1c50339c 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.5 {16000,16000,16000,16000}
a4b2f1be 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.5 {8000,8000,8000,8000,8000,8000,8000,8000}
a4bc7796 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.5 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
74d192ab 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.5 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
85fa5af4 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.5 {32000,8000,8000,8000,8000}
417b8564 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.001 0.5 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
d9db28e7 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0 {64000}
b136398d 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0 {32000,32000}
d77b325b 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0 {16000,16000,16000,16000}
ea418107 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0 {8000,8000,8000,8000,8000,8000,8000,8000}
821cd6b9 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
8fb273f3 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
7646e0c0 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0 {32000,8000,8000,8000,8000}
6bbb3e95 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
33d25401 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.05 {64000}
9474d620 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.05 {32000,32000}
d7c6c0bd 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.05 {16000,16000,16000,16000}
a36ec81b 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.05 {8000,8000,8000,8000,8000,8000,8000,8000}
5b7adee8 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.05 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
565b4664 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.05 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
2dd12727 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.05 {32000,8000,8000,8000,8000}
cd56cf6a 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.05 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
ab55de1a 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.2 {64000}
85bdeb81 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.2 {32000,32000}
e87a4d88 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.2 {16000,16000,16000,16000}
b8ffd038 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.2 {8000,8000,8000,8000,8000,8000,8000,8000}
1815dfc3 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.2 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
138ba101 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.2 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
1ce925b0 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.2 {32000,8000,8000,8000,8000}
971aee1 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.2 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
cf34b3d3 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.5 {64000}
1ebce49b 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.5 {32000,32000}
3aaf0b0e 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.5 {16000,16000,16000,16000}
b6f51698 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.5 {8000,8000,8000,8000,8000,8000,8000,8000}
b6af139 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.5 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
90b9fe20 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.5 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
ee8f2c0d 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.5 {32000,8000,8000,8000,8000}
131b6f1a 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.01 0.5 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
b45a501b 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0 {64000}
f2ec2cc 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0 {32000,32000}
6280f3ff 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0 {16000,16000,16000,16000}
d42d1746 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0 {8000,8000,8000,8000,8000,8000,8000,8000}
68aebf9c 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
3e41c2d4 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
504edef0 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0 {32000,8000,8000,8000,8000}
aefcb5cd 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
f2559e90 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.05 {64000}
1089149 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.05 {32000,32000}
f139f82f 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.05 {16000,16000,16000,16000}
b1292f3d 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.05 {8000,8000,8000,8000,8000,8000,8000,8000}
f4ac5847 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.05 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
b2332aef 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.05 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
46a451de 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.05 {32000,8000,8000,8000,8000}
9f362514 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.05 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
4d82e424 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.2 {64000}
46b00049 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.2 {32000,32000}
ce7273b8 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.2 {16000,16000,16000,16000}
48f1a661 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.2 {8000,8000,8000,8000,8000,8000,8000,8000}
c4883c6a 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.2 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
7528218d 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.2 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
2ce28e0 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.2 {32000,8000,8000,8000,8000}
179e652 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.2 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
29e389ed 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.5 {64000}
